bank,city,branch,swiftcode
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPDVP
UNION NATIONAL BANK-EGYPT S.A.E.,CAIRO,(CAIRO BRANCH),ALECEGALCAI
"BLACKROCK JAPAN CO., LTD.",TOKYO,,BGIAJPJTXXX
CREDIT AGRICOLE CHEUVREUX,PARIS,,CHVIFRPP536
NAEEM BROKERAGE,GIZA,,NAEEEGCAXXX
EGYPTIAN GULF BANK,CAIRO,(EL AHALY SPORTING CLUB GEZIRA BRANCH),EGGBEGCAAHG
ARAB BANK PLC,CAIRO,(ARAB BANK PLC NOZHA),ARABEGCXNOZ
GDF SUEZ,PARIS,,GSZGFRPPXXX
HSBC FRANCE,PARIS,,BHVTFRPPXXX
ELECTRICITE DE FRANCE,PARIS,,EDFGFRPP001
CAISSE DES DEPOTS ET CONSIGNATIONS,PARIS,,CDCGFRPPOAC
"THE NISHI-NIPPON CITY BANK, LTD",FUKUOKA,,NISIJPJTXXX
EAST-EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,MOSCOW,,EEBARUMMXXX
SUEZ CANAL BANK,SHARM EL SHEIKH,(SHARM EL SHEIKH BRANCH),SUCAEGCXSHR
TASWEEQ,DOHA,,TSWQQAQAXXX
ART ET TECHNIQUES DU PROGRES,ORLEANS,,GRSRFR22XXX
MISR IRAN DEVELOPMENT BANK,GIZA,(GIZA BRANCH),MIDBEGCXGZA
FIRST BANK,"LAKEWOOD,CA",,FBOLUS6LXXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALEXANDRIA,(SAAD ZHAGLOUL BRANCH),ALECEGALSDZ
BALTIK DEVELOPMENT BANK,ST. PETERSBURG,(ST. PETERSBURG BRANCH),BADJRUMMSPB
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(DIRECTION DE LA TRESORERIE),BEXADZALDTD
"CHUGOKU BANK, LTD., THE",OKAYAMA,(HEAD OFFICE),CHGKJPJZXXX
CITY INVEST BANK,ST. PETERSBURG,,CITVRU2PXXX
ALFA-BANK,MOSCOW,(HEAD OFFICE TREASURY DEPARTMENT),ALFARUMMTSY
BANK ROSSIYSKY KAPITAL,MOSCOW,,ROSKRUMMXXX
ARAB BANK PLC,CAIRO,(ALI AMEEN BRANCH),ARABEGCXAMN
ARAB INVESTMENT BANK,ALEXANDRIA,(ALEXANDRIA FOR ISLAMIC OPERATION BRANCH),AINBEGCAALI
SHINHAN BANK JAPAN,TOKYO,(TOKYO BRANCH),SHBKJPJXTOK
CENTRAL BANK OF EGYPT CAIRO,PORT SAID,(PORT SAID BRANCH),CBEGEGCXPOS
BLOM BANK EGYPT S.A.E.,CAIRO,(NEW CAIRO),MRBAEGCX023
ABE CLEARING SAS/EBA CLEARING,PARIS,,EBAPFRPPCOL
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE HASSIBA BEN BOUALI),BEXADZAL038
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33005
SUMITOMO MITSUI BANKING CORPORATION,TOKYO,,SMBCJPJTXXX
BANQUE EXTERIEURE D'ALGERIE,BOUFARIK,(BOUFARIK),BEXADZAL113
BANQUE CHAABI DU MAROC,PARIS,,BCDMFRPPXXX
BANQUE INTERNATIONALE DE COMMERCE-BRED,PARIS,,BICFFRPPXXX
BARCLAYS BANK - EGYPT S.A.E.,CAIRO,,BCBIEGCXXXX
"ECOPROMBANK, JOINT-STOCK COMMERCIAL BANK",PERM,,ECJORU4PXXX
"SHIKOKU BANK,LTD.,THE",KOCHI,,SIKOJPJTXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",,FCNYUS33SSP
FIRST NATIONAL BANK,"LINCOLN,NE",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44LIN
"CHARLES SCHWAB AND CO., INC.","SAN FRANCISCO,CA",(WIRE TRANSFER SERVICES),CSCHUS6SWTS
"ING BELGIUM S.A., SUCCURSALE EN FRANCE",PARIS,,INGBFRPPXXX
CAISSE D'EPARGNE PROVENCE ALPES CORSE,MARSEILLE,,CEPAFRPP131
CENTER-INVEST CB,ROSTOV-ON-DON,,CCIVRU2RXXX
NATIONAL BANK OF ABU DHABI,LUXOR,,NBADEGCALUX
FIRST NATIONAL BANK,"FRISCO,TX",,FNBOUS44FRI
PHARAONIC BROKERAGE CO.,CAIRO,,PHBREGCAXXX
BANQUE DE L'AGRICULTURE ET DE DEVELOPPEMENT RURAL,ALGIERS,,BADRDZALXXX
BANK OF ALEXANDRIA S A E,CAIRO,(INVESTMENT DEPARTMENT),ALEXEGCX005
BANCO DE CREDITO DEL PERU - MIAMI AGENCY,"CORAL GABLES,FL",,BCPLUS33XXX
CENTERSTATE BANK OF FLORIDA,"WINTER HAVEN,FL",,CSBKUS33XXX
INVESCO GESTION,PARIS,,INVZFRPPMDO
EGYPTIAN SAUDI FINANCE BANK,ALEXANDRIA,(SMOHA BRANCH),TAMSEGCASOM
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,THAI NGUYEN,(THAI NGUYEN BRANCH),BIDVVNVX390
"SETO SHINKIN BANK, THE",SETO,,SSBKJPJZXXX
FAISAL ISLAMIC BANK OF EGYPT,DOMIAT,(DAMIETTA BRANCH),FIEGEGCXDOM
DEUTSCHE BANK AG,TOKYO,(TOKYO BRANCH),DEUTJPJTXXX
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(HELIOPOLIS BRANCH),ARAIEGCXHEL
EUROCLEAR FRANCE,PARIS,,SICVFRPPAF2
EURONEXT PARIS S.A.,LYON,,XPARFRPP022
GLOBEOP FINANCIAL SERVICES LLC,"HARRISON,NY",,GLOPUS33XXX
LUXOR SECURITIES BROKERAGE,CAIRO,,LUXOEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BLIDA,(AGENCE MOUZAIA),BEXADZAL027
CATERPILLAR INC.,"PEORIA,IL",,CTPLUS44XXX
BANCO DO BRASIL S.A,"NEW YORK,NY",,BRASUS33XXX
YVES ROCHER,ISSY LES MOULINEAUX,,YROCFRPPXXX
LA BANQUE POSTALE,TOULOUSE,,PSSTFRPPTOU
"THE BANK OF KOCHI, LIMITED",KOCHI,,KOTIJPJZXXX
FINANCIAL BROKERAGE GROUP (FBG),CAIRO,(FINANCIAL BROKERAGE GROUP),EFGHEGCAFBG
ODDO ET CIE,PARIS,,ODDOFRPPBKO
ATTIJARIWAFA BANK,PARIS,,BCMAFRPPXXX
"OITA BANK, LTD., THE",OITA,,OITAJPJTXXX
COFIDIS,VILLENEUVE D'ASCQ,,CFFIFR2LXXX
MASHREQ BANK,CAIRO,(RETAIL BANK),MSHQEGCARBG
BANQUE EXTERIEURE D'ALGERIE,EL KHROUB,(AGENCE EL KHROUB),BEXADZAL039
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(HEAD OFFICE),BIDVVNVXXXX
BANQUE POPULAIRE PROVENCALE ET CORSE,MARSEILLE,,CCBPFRPPMAR
EGYPTIAN WORKERS BANK,CAIRO,,EWBAEGC1XXX
"DANSKE BANK A/S,LATVIJA BRANCH",RIGA,,MARALV22XXX
DOHA BANK,DOHA,(SALWA ROAD BRANCH - DOHA INDUSTRIAL AREA),DOHBQAQASRB
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,(EL-SAYDAH ZINAB),FIEGEGCXZNB
BANCOLOMBIA S.A. MIAMI AGENCY,"MIAMI,FL",,COLOUS33XXX
ARAB AFRICAN INTERNATIONAL BANK,ALEXANDRIA,,ARAIEGCXALE
MORTGAGE AND LAND BANK OF LATVIA,RIGA,,LHZBLV22XXX
BANQUE MISR,PORT SAID,(EL GOMHORIA ST. BRANCH),BMISEGCX373
BNP PARIBAS EQUITIES FRANCE,PARIS,,DBZEFRPPCRI
BNP PARIBAS FINAMS,PARIS,,FAMSFRPPXXX
SUEZ CANAL BANK,EL SADAT CITY,(SADAT BRANCH),SUCAEGCXSDT
BANCO INDUSTRIAL DE VENEZUELA,"NEW YORK,NY",,INDSUS33XXX
CAISSE D'EPARGNE D'ALSACE,STRASBOURG,,CEPAFRPP670
SMBC NIKKO SECURITIES INC.,TOKYO,,NKSCJPJTXXX
DEUTSCHE SECURITIES INC.,TOKYO,(JAPANESE EQUITY SETTLEMENT DEPARTMENT),DEUTJPJ9DOM
BANK OF KHANTY-MANSIYSK OAO,BEREZOVO,(BEREZOVO BRANCH),KHANRUMM013
"SKANDINAVISKA ENSKILDA BANKEN, PARIS BRANCH",PARIS,,ESSEFRPXXXX
CISCO SYSTEMS INC,"SAN JOSE,CA",,CSCOUS66XXX
MISR IRAN DEVELOPMENT BANK,CAIRO,(HELIOPOLIS BRANCH),MIDBEGCXHLP
"CHARLES SCHWAB AND CO., INC.","SAN FRANCISCO,CA",(TREASURY),CSCHUS6STRE
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(6TH OCTOBER BRANCH),NBDEEGCXOCT
BALTIK DEVELOPMENT BANK,VLADIVOSTOK,(VLADIVOSTOK BRANCH),BADJRUMMVLD
BARCLAYS CAPITAL LIMITED LIABILITY COMPANY,MOSCOW,,BARCRU2MXXX
DAIWA SECURITIES CO.LTD.,TOKYO,,DAREJPJTXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",,FCNYUS33GPS
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DA NANG,(DA NANG BRANCH),BFTVVNVX004
CREDIT MUTUEL ARKEA,BREST,,CMBRFR2BXXX
AHLI UNITED BANK (EGYPT) S.A.E.,ALEXANDRIA,(SIDI-BISHR BRANCH),DEIBEGCX223
AMERICAN PERSPECTIVE BANK,"SAN LUIS OBISPO,CA",,APBAUS6LXXX
AHLI UNITED BANK (EGYPT) S.A.E.,TANTA,(TANTA BRANCH),DEIBEGCX319
AVTOGRADBANK,NABEREZHNYE CHELNY,,AVGRRU22XXX
CHELINDBANK,SATKA,(SATKINSKIJ BRANCH),CHLBRU4C760
"AMAGASAKI SHINKIN BANK, THE",AMAGASAKI,,AMASJPJZXXX
BANQUE ALGERIENNE DE DEVELOPPEMENT,ALGIERS,,BADZDZALXXX
CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES,BORDEAUX,,CEPAFRPP333
GIE AXA FRANCE,PARIS,,AXAFFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,NYAGAN,(NYAGAN BRANCH),KHANRUMM016
SUEZ CANAL BANK,PORT SAID,(PORT SAID BRANCH),SUCAEGCXPTS
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(MOHANDSEN BRANCH),NBDEEGCXMHD
WESTLB AG PARIS,PARIS,,WELAFRPPXXX
AS SMP BANK,RIGA,,MULTLV2XXXX
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(ALFY BRANCH),TAMSEGCAALF
SUMISHO COMPUTER SYSTEMS CORPORATION,TOKYO,,SCSJJPJTXXX
ELECTRICITE DE FRANCE,PARIS,,EDFGFRPPXXX
NATIXIS,PARIS,,CCBPFRPPXXX
CITY MORTGAGE BANK OOO,MOSCOW,,CMBBRUMMXXX
BANK BCC-MOSCOW,MOSCOW,,BCCMRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,MEDEA,(AGENCE MEDEA),BEXADZAL026
QATARGAS OPERATING CO LTD,DOHA,,QAQGQAQAXXX
NATIXIS,BORDEAUX,,CCBPFRPP922
BANQUE POPULAIRE DU MASSIF CENTRAL,CLERMONT FERRAND,,CCBPFRPPCFD
"SHIGA BANK, LTD., THE",OTSU,(HEAD OFFICE),SIGAJPJTXXX
ALWATANY BANK OF EGYPT,CAIRO,(SARWAT BRANCH),WABAEGCXSAR
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FSI
COMMERCIAL BANK SUMMIT BANK OPEN JOINT STOCK COMPANY,BOLSHOY KAMEN,,CBBORU8VXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FSF
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33001
UNICREDIT BANK AG (HYPOVEREINSBANK) PARIS,PARIS,,HYVEFRPPXXX
MASHREQ BANK,CAIRO,(TREASURY),MSHQEGCATCM
NATIXIS LEASE,PARIS,,CCBPFRPPLES
"BANK OF KAZAN, KBER, OOO",KAZAN,,KABORU2KXXX
BANQUE DU CAIRE,CAIRO,,BCAIEGCXXXX
CAPITAL ZAO,MOSCOW,,JSBCRU4NXXX
CM - CIC BANQUES,PARIS,,CMCIFRPPCOR
CRC MARIT MUT ATLANTIQUE,SAINT HERBLAIN,,CCBPFRPP219
FIDELITY SERVICE CO,"BOSTON,MA",,FIDQUS3BDTH
LA BANQUE POSTALE,NANCY,,PSSTFRPPNCY
NEW BRENT FOR SECURITIES BROKERAGE,CAIRO,,NEWPEGCAXXX
APTAR GROUP SAS,SAINT GERMAIN EN LAYE,,APTAFRPPXXX
NATIXIS,PARIS,,CCBPFRPPFMP
EGYPTIAN ARAB LAND BANK,GIZA,,ARLBEGCADOK
BANQUE MICHEL INCHAUSPE - BAMI,SAINT JEAN PIED DE PORT,,BAMYFR22XXX
BANQUE ESPIRITO SANTO ET DE LA VENETIE,PARIS,,BESVFRPPXXX
BANQUE PSA FINANCE SA,PARIS,,PSABFRPPXXX
BLOM BANK EGYPT S.A.E.,ISMAILIA,(ISMAILIA),MRBAEGCX018
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(FINANCIAL DEPARTMENT),DIBBEGCAFIN
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(GARDEN CITY ISLAMIC BRANCH),NBDEEGCXGCT
QATAR DEVELOPMENT BANK,DOHA,,QIDBQAQAXXX
GE MONEY BANK SCA,PARIS,,MOEYFRPPXXX
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,PARIS,,SMBCFRPPXXX
BLOM BANK EGYPT S.A.E.,CAIRO,(HELIOPOLIS BRANCH),MRBAEGCX004
EGYPTIAN ARAB LAND BANK,CAIRO,(HOLWAN BRANCH),ARLBEGCAHOL
ARAB BANK PLC ALGERIA,ALGIERS,,ARABDZALXXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,,CBEGEGCXXXX
COMMERZBANK AG TOKYO,TOKYO,(OFF-SHORE BUSINESS),COBAJPJXTOM
GE MONEY BANK SCA,PARIS,,MOEYFRPPMON
BANCO DO ESTADO DO RIO GRANDE DO SUL-MIAMI BRANCH,"MIAMI,FL",,BRGSUS33XXX
BANQUE EXTERIEURE D'ALGERIE,CONSTANTINE,(CONSTANTINE SI EL HAOUES),BEXADZAL103
NORDEA BANK FINLAND PLC LATVIA BRANCH,RIGA,,NDEALV2XXXX
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,PARIS,,SMBCFRPPGEB
CIBC WORLD MARKETS CORP.,"NEW YORK,NY",,OPCOUS33XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(TRANSACTION CENTER NO. 1),BIDVVNVX120
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(HEGAZ BRANCH),EXDEEGCXHEG
CAPITAL KREDIT LTD,MOSCOW,,CINGRUMMXXX
CHELINDBANK,CHELYABINSK,,CHLBRU4CXXX
"THE BANK OF NEW YORK MELLON TRUST (JAPAN), LTD",TOKYO,,IRVTJPJTXXX
BANK RESO CREDIT,MOSCOW,,RETLRUMMXXX
ALAHRAM SECURITIES BROKERAGE CO.,CAIRO,,AHSCEGCAXXX
BANK SANKT - PETERBURG OAO,ST. PETERSBURG,,JSBSRU2PXXX
"CHINA MERCHANTS BANK CO., LTD.","NEW YORK,NY",,CMBCUS33XXX
BARCLAYS BANK PLC,TOKYO,(MONEY MARKET AND FOREIGN EXCHANGE),BARCJPJ2MFX
"BANK OF AMERICA, N.A.","CHARLOTTE,NC",(BANK OF AMERICA SINGAPORE LIMITED BASL ACU),BOFAUS3DSG3
CITIBANK N.A.,HANOI,,CITIVNVXXXX
BLOM BANK EGYPT S.A.E.,CAIRO,,MRBAEGCXXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ASSUIT,(ASSUIT AND EL WADI EL GIDED BRANCH),BDACEGCA088
SAFRAN,PARIS,,SFRAFRPPXXX
BANQUES POPULAIRES PARTICIPATIONS,PARIS,,HLBPFRPPXXX
BANK OF CHINA,TOKYO,(TOKYO BRANCH),BKCHJPJTXXX
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(DOWNTOWN),DEIBEGCX110
LA BANQUE POSTALE,LIMOGES,,PSSTFRPPLIM
VIVENDI,PARIS,,VIVEFRPPXXX
NATIXIS,PARIS,,NATXFRPPXXX
CHEMICAL BANK,"MIDLAND,MI",,CHEMUS33XXX
PICTET AND CIE (EUROPE) S.A. SUCCURSALE DE PARIS,PARIS,,PICTFRPPXXX
CITIBANK JAPAN LTD.,TOKYO,,CITIJPJTXXX
SUEZ CANAL BANK,CAIRO,,SUCAEGCXXXX
APOLLO BANK,"MIAMI,FL",,UCBMUS3MXXX
BANQUE EXTERIEURE D'ALGERIE,RELIZANE,(AGENCE DE RELIZANE),BEXADZAL073
BANCO DAVIVIENDA S.A.,"MIAMI,FL",,CAFEUS3MXXX
HSBC FRANCE,LILLE,,CCFRFRPP150
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE KHEMIS MILIANA),BEXADZAL013
ELECTRICITE DE FRANCE,PARIS,,EDFGFRPPBBF
BANK TROIKA DIALOG,MOSCOW,,TDBKRUMMXXX
COMMERZBANK (EURASIJA) SAO,MOSCOW,,COBARUMMXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,PORT SAID,,DIBBEGCA0A5
NATIXIS,DIJON,,CCBPFRPP934
"THE TOKYO TANSHI CO., LTD.",TOKYO,,TKTSJPJTXXX
STANDARD CHARTERED BANK,DOHA,,SCBLQAQXXXX
ALLY FINANCIAL INC,"DETROIT,MI",,ALYIUS33XXX
PICTET ASSET MANAGEMENT (JAPAN) LTD.,TOKYO,,PICTJPJTXXX
ENISEY (PUBLIC COMPANY) JSCB,KRASNOYARSK,,ENCBRU55XXX
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPT2X
LA BANQUE POSTALE,LILLE,,PSSTFRPPLIL
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXMRG
HSBC FRANCE,PARIS,,BABOFRPPXXX
MASHREQ BANK,DOHA,,MSHQQAQAXXX
HSBC FRANCE,ARRAS,,CCFRFRPP330
ARAB BANK PLC,DOHA,,ARABQAQAXXX
BLOM BANK EGYPT S.A.E.,CAIRO,(SHOUBRA),MRBAEGCX019
EGYPTIAN ARAB LAND BANK,SHOROUK,,ARLBEGCASHR
GIRAUD INTERNATIONAL,VITRY SUR SEINE,,JIROFRPPXXX
"DBS BANK LTD, TOKYO BRANCH",TOKYO,,DBSSJPJTXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,KAFR EL SHEIKH,(KAFR EL SHEIKH BRANCH),BDACEGCA047
DUBUS S.A.,LILLE,,DUBUFR2LDEU
JSC LATVIJAS KRAJBANKA,RIGA,,UBALLV2XXXX
ARAB INVESTMENT BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),AINBEGCAALX
BANK OF JAPAN,TOKYO,(FOR JAPAN'S RESERVES USE ONLY),BOJPJPJTMF1
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(SAIGON BRANCH),BIDVVNVX140
CREDIT AGRICOLE CIB,PARIS,,BSUIFRPPCAP
BNP PARIBAS EQUITIES FRANCE,PARIS,,DBZEFRPPACC
FIRST PLACE BANK,"WARREN,OH",,FPBSUS33XXX
LA BANQUE POSTALE,RENNES,,PSSTFRPPREN
"NATIONAL BANK OF PAKISTAN, KABUL BRANCH",KABUL,,NBPAAFKAXXX
"NATIONAL BANK OF GREECE, (EGYPT NETWORK)",GIZA,,ETHNEGCAXXX
BLOM BANK EGYPT S.A.E.,CAIRO,(NASR CITY BRANCH),MRBAEGCX009
BLOM BANK EGYPT S.A.E.,ALEXANDRIA,(MONTAZA),MRBAEGCX020
CREDIT BANK OF MOSCOW (OPEN JOINT STOCK COMPANY),MOSCOW,,MCRBRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,M'SILA,(AGENCE M'SILA),BEXADZAL047
NATIONAL BANK OF ABU DHABI,CAIRO,(MOHANDESSIN BRANCH),NBADEGCAMHD
UNION NATIONAL BANK-EGYPT S.A.E.,PORT SAID,(PORT SAID BRANCH),ALECEGALPSD
NATIXIS,PARIS,,CCBPFRPPSEC
SUEZ CANAL BANK,CAIRO,(GIZA BRANCH),SUCAEGCXGIZ
BANQUE EXTERIEURE D'ALGERIE,ORAN,(AGENCE ORAN ABDELAKADER),BEXADZAL060
BANK OF ALGERIA,ALGIERS,,BALGDZAPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(DIRECTION DES OPERATIONS AVEC L'ETRANGER - DEPARTEMENT L/C ET NOSTRO),BEXADZALDOE
FORD MOTOR COMPANY,"DEARBORN,MI",,FOMOUS33XXX
BANK OF ALEXANDRIA S A E,PORT SAID,(PORT SAID BRANCH),ALEXEGCX002
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPMMO
BANQUE DE L'EUROPE MERIDIONALE SA,PARIS,,BEMOFRPPXXX
"VEFBANK, JOINT STOCK COMPANY COMMERCIAL BANK",RIGA,,VEFBLV22XXX
BRED BANQUE POPULAIRE,PARIS,,BREDFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(HO CHI MINH CITY BRANCH),BIDVVNVX310
CATHAY BANK,"FLUSHING,NY",(NEW YORK BRANCH),CATHUS6LNYC
INTERNATIONAL BANK OF QATAR (Q.S.C.),DOHA,,IBOQQAQAXXX
BLOM BANK EGYPT S.A.E.,GIZA,(DOKKI),MRBAEGCX012
LAFARGE SA,PARIS,,LAFAFRPPXXX
BANK OF ALEXANDRIA S A E,ALEXANDRIA,(ALEXANDRIA BRANCH),ALEXEGCX001
EGYPTIAN ARAB LAND BANK,CAIRO,(CAIRO BRANCH),ARLBEGCACAI
NATIXIS,LYON,,CCBPFRPP925
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,,SBNKEGCXMRG
LA BANQUE POSTALE,PARIS,,PSSTFRPPXXX
"BANK OF TOKYO-MITSUBISHI UFJ, LTD.,THE",TOKYO,,BOTKJPJ2XXX
EL HORREYA SECURITIES BROKERAGE CO.,CAIRO,,HRIAEGCAXXX
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",SAPPORO,,BOTKJPJTSAP
BANQUE EXTERIEURE D'ALGERIE,BLIDA,(AGENCE BENI MERED),BEXADZAL025
FIRST HAWAIIAN BANK,"HONOLULU,HI",,FHBKUS77XXX
NATIONAL BANK OF ABU DHABI,ALEXANDRIA,(ALEXANDRIA BRANCH),NBADEGCAALX
BANQUE MISR,CAIRO,(CAIRO BRANCH),BMISEGCX101
BARCLAYS BANK LLC,MOSCOW,,BARCRUMMXXX
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(ZAMALEK BRANCH),NBDEEGCXZMK
DYNAMIC SECURITIES TRADING,GIZA,,DYSTEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,PHU THO,(PHU THO BRANCH),BIDVVNVX421
CREDIT AGRICOLE CIB,MARSEILLE,,BSUIFRPPMAR
BANQUE EXTERIEURE D'ALGERIE,JIJEL,(AGENCE JIJEL),BEXADZAL048
CREDIT AGRICOLE,PARIS,,AGRIFRPPXXX
GENWORTH LIFE INSURANCE COMPANY,"STAMFORD,CT",,GNWFUS33XXX
"BANCO INDUSTRIAL DE VENEZUELA, C.A. MIAMI AGENCY","MIAMI,FL",,INDSUS3MXXX
LA BANQUE POSTALE,CLERMONT FERRAND,,PSSTFRPPCLE
BANCO SANTANDER INTERNATIONAL,"MIAMI,FL",,BDERUS3MXXX
HSBC FRANCE,LYON,,CCFRFRPP170
SOCIETE ARABE INTERNATIONALE DE BANQUE,EL MANSOURA,,SBNKEGCXMNS
CAISSE DES DEPOTS ET CONSIGNATIONS,PARIS,,CDCGFRPPCAC
"ASAHI SHINKIN BANK, THE",TOKYO,,ASKBJPJTXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,(BOUSTAN BRANCH),SBNKEGCXBUS
"BANK OF KYOTO,LTD.,THE",KYOTO,,BOKFJPJZXXX
BPCE,PARIS,,BPCEFRPPXXX
SUEZ CANAL BANK,CAIRO,(OROUBA BRANCH),SUCAEGCXORB
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(CBE ALEXANDRIA BRANCH),CBEGEGCAALX
BANQUE MISR,ALEXANDRIA,(BORG EL-SELSELA),BMISEGCXALX
BANQUE EXTERIEURE D'ALGERIE,ORAN,(AGENCE ARZEW SITE SONATRACH),BEXADZAL070
"CHINATRUST COMMERCIAL BANK, HO CHI MINH CITY BRANCH",HO CHI MINH CIT,,CTCBVNVXXXX
ELECTRICITE DE FRANCE,PARIS,,EDFGFRPPSCA
"THE BANK OF NEW YORK MELLON, TOKYO BRANCH",TOKYO,"(TOKYO BRANCH, TRADE SERVICE)",IRVTJPJX848
MISR IRAN DEVELOPMENT BANK,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),MIDBEGCXRAM
IPSEN,PARIS,,IPSNFRPPXXX
ARAB BANK PLC,CAIRO,(DOKKI BRANCH),ARABEGCXDKI
LA BANQUE POSTALE,MONTPELLIER,,PSSTFRPPMON
SOCIETE MARSEILLAISE DE CREDIT,ORANGE,,SMCTFR2AORA
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXHLP
EUROMET BANK,MOSCOW,,EUMTRUMMXXX
ABBEY NATIONAL TREASURY SERVICES LTD US BRANCH,"STAMFORD,CT",,ANTSUS33XXX
"BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A.","NEW YORK,NY",,ESSIUS3NXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE HAMANI),BEXADZAL018
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",HIROSHIMA,,BOTKJPJTHIR
"OKAZAKI SHINKIN BANK, THE",OKAZAKI,,OKSBJPJZXXX
GROUPAMA BANQUE,MONTREUIL,,GPBAFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,LAGHOUAT,(AGENCE DE LAGHOUAT),BEXADZAL029
BANQUE EXTERIEURE D'ALGERIE,HASSI-MESSAOUD,,BEXADZAL035
BANQUE POPULAIRE DES ALPES,CORENC,,CCBPFRPPGRE
FAISAL ISLAMIC BANK OF EGYPT,ALEXANDRIA,(ALEXANDRIA II BRANCH),FIEGEGCXAX2
DEUTSCHE SECURITIES INC.,TOKYO,(FOREX DIVISION),DEUTJPJ9FX1
"FULTON BANK, N.A.","LANCASTER,PA",,FLBKUS33XXX
BANQUE PALATINE (FORMERLY BANQUE SANPAOLO),PARIS,,BSPFFRPPXXX
BANQUE POPULAIRE VAL DE FRANCE,MONTIGNY LE BRETONNEUX,,CCBPFRPPVER
FIRST AMERICAN BANK,"ELK GROVE VILLAGE,IL",,FAMBUS44XXX
MISR IRAN DEVELOPMENT BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),MIDBEGCXALX
QATAR FOUNDATION,DOHA,,QFQFQAQAXXX
EGYPTIAN GULF BANK,CAIRO,(GARDEN CITY),EGGBEGCACAI
ARAB BANK PLC,ALEXANDRIA,(SPORTING BRANCH),ARABEGCXSPR
